university_name,country,city,qs_ranking,degree_level,programs_offered,fields,min_gpa,gre_required,min_gre,ielts_min,toefl_min,duolingo_min,research_weight,research_focus,has_thesis_option,eca_weight,tuition_fee,living_cost,total_cost_estimated,scholarship_available,max_coverage_percent,work_visa_available,deadline_fall,deadline_spring,acceptance_rate,bd_admit_count_3yr,last_updated,source_url
National University of Singapore,Singapore,,8,Graduate,"engineering, computer science, business, medicine, law","business, computer science, engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.6,1,320.0,6.5,79,110,5.0,"AI & Smart Systems, Biomedical Engineering, Sustainable Urban Solutions",1,3,27000,16370,43370,1,100,0,March 15,,7.2,,2026-04-29,
Columbia University,United States,,23,Graduate,"journalism, law, business, engineering, international affairs","business, engineering, international affairs, journalism, law, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.7,1,325.0,7.0,94,120,5.0,"Climate & Sustainability, Data Science, Global Health, Finance",1,5,65000,9670,74670,1,100,1,January 5,October 1,3.7,,2026-04-29,
"University of California, Los Angeles",United States,,29,Graduate,"film & media, engineering, business, medicine, environmental science","business, engineering, environmental science, film and media, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.7,1,320.0,6.5,79,110,5.0,"Film & Entertainment, AI & Data Science, Environmental Science, Biotech",1,5,33000,13372,46372,1,100,0,December 1,,8.8,,2026-04-29,
Cornell University,United States,,20,Graduate,"engineering, hotel management, law, agriculture, computer science","agriculture, computer science, engineering, hotel management, law, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.7,1,320.0,7.0,94,120,5.0,"AI & Robotics, Sustainable Agriculture, Hotel & Tourism Management",1,5,61000,18417,79417,1,100,0,December 15,,7.3,,2026-04-29,
University of Toronto,Canada,,29,Graduate,"engineering, computer science, medicine, business, law","business, computer science, engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering",3.6,1,324.0,6.5,79,110,5.0,"AI & Quantum, Biomedical, Climate Change",1,5,26964,14944,41908,1,100,0,January 15,,43.0,,2026-04-29,
UCL,United Kingdom,,9,Graduate,"engineering, medicine, computer science, law, social sciences","computer science, engineering, law, medicine, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.7,0,,7.0,94,120,5.0,"Neuroscience, AI, Global Health",1,5,35000,19723,54723,1,100,1,March 28,,36.0,,2026-04-29,
University of Michigan - Ann Arbor,United States,,33,Graduate,"engineering, business, medicine, law, social sciences","business, engineering, law, medicine, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.7,1,320.0,6.5,79,110,3.0,"Autonomous Vehicles, Data Science, Public Health",1,5,52000,18447,70447,1,100,1,December 15,,17.7,,2026-04-29,
Carnegie Mellon University,United States,,52,Graduate,"computer science, engineering, robotics, business","business, computer science, engineering, robotics, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.7,1,325.0,7.0,94,120,5.0,"AI, Cybersecurity, Robotics",1,5,59000,19146,78146,1,50,0,December 10,,11.0,,2026-04-29,
University of Washington,United States,,63,Graduate,"computer science, engineering, medicine, environmental science","computer science, engineering, environmental science, medicine, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.6,1,315.0,6.5,79,110,3.0,"Big Data, Climate, Health Informatics",1,5,31000,10286,41286,1,50,0,,,47.0,,2026-04-29,
Technical University of Munich,Germany,,28,Graduate,"engineering, computer science, physics, management","computer science, engineering, management, physics, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.4,1,310.0,6.5,79,110,5.0,"AI, Sustainable Mobility, Quantum",1,2,3000,12732,15732,1,100,1,May 31,November 30,8.0,,2026-04-29,
Duke University,United States,,25,Graduate,"medicine, law, business, engineering","business, engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.8,1,322.0,7.0,94,120,3.0,"Biomedicine, Environmental Policy",1,5,62000,9476,71476,1,100,1,December 15,,5.7,,2026-04-29,
The University of Tokyo,Japan,,32,Graduate,"engineering, medicine, law, sciences","engineering, law, medicine, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.6,1,315.0,6.0,60,100,5.0,"Robotics, Materials, Disaster Science",1,3,5000,17516,22516,1,100,0,January 15,August 31,20.0,,2026-04-29,
University of Edinburgh,United Kingdom,,27,Graduate,"medicine, informatics, social sciences","informatics, medicine, social sciences",3.6,0,,6.5,79,110,5.0,"AI, Climate, Data Science",1,5,36777,11859,48636,1,100,1,March 31,,41.0,,2026-04-29,
Nanyang Technological University Singapore,Singapore,,15,Graduate,"engineering, business, medicine","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, industrial engineering",3.6,1,315.0,6.5,79,110,5.0,"AI, Sustainability, Materials",1,3,22000,19569,41569,1,100,0,January 31,,25.0,,2026-04-29,
Northwestern University,United States,,50,Graduate,"business, medicine, law, engineering","business, engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.8,1,322.0,7.0,94,120,3.0,"Materials Science, Neuroscience",1,5,61000,15568,76568,1,100,1,December 15,,7.0,,2026-04-29,
École Polytechnique Fédérale de Lausanne,Switzerland,,22,Graduate,"engineering, computer science, life sciences","computer science, engineering, life sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.6,1,310.0,6.5,79,110,5.0,"Robotics, Energy, Neuroscience",1,3,1800,15755,17555,1,100,0,,,12.0,,2026-04-29,
New York University,United States,,43,Graduate,"business, law, computer science, arts","arts, business, computer science, law",3.7,1,320.0,7.0,94,120,5.0,"AI Ethics, Finance, Urban Studies",1,5,58000,9111,67111,1,100,0,December 15,November 1,8.0,,2026-04-29,
University of California San Diego,United States,,62,Graduate,"engineering, medicine, biology, computer science","biology, computer science, engineering, medicine, mechanical engineering, electrical engineering, aerospace engineering, biomedical engineering",3.6,1,320.0,6.5,79,110,5.0,"Biotech, Climate, AI",1,5,34000,13693,47693,1,50,0,,,24.0,,2026-04-29,
University of Hong Kong,Hong Kong,,26,Graduate,"medicine, law, engineering, business","business, engineering, law, medicine, mechanical engineering, electrical engineering, biomedical engineering, industrial engineering",3.6,1,310.0,6.5,79,110,5.0,"AI, Biomedicine, Law",1,3,22000,8711,30711,1,100,0,December 31,,12.0,,2026-04-29,
Fudan University,China,,44,Graduate,"medicine, business, social sciences","business, medicine, social sciences",3.6,1,315.0,6.0,60,100,5.0,"AI, Finance, Public Health",1,3,25000,16190,41190,1,100,1,March 31,,6.0,,2026-04-29,
King’s College London,United Kingdom,,40,Graduate,"medicine, law, business, humanities","business, humanities, law, medicine",3.6,0,,7.0,94,120,3.0,"Neuroscience, Global Health",1,5,38000,13357,51357,1,100,1,,,17.0,,2026-04-29,
LMU Munich,Germany,,59,Graduate,"medicine, law, business, sciences","business, law, medicine, sciences",3.4,1,310.0,6.5,79,110,5.0,"Biomedicine, AI",1,2,3000,12613,15613,1,50,1,,,10.0,,2026-04-29,
University of Melbourne,Australia,,13,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.5,0,,6.5,79,110,5.0,"AI, Climate, Health",1,3,31284,10837,42121,1,100,1,October 31,May 31,19.7,,2026-04-29,
Georgia Institute of Technology,United States,,97,Graduate,"engineering, computer science, business","business, computer science, engineering, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.6,1,320.0,6.5,79,110,5.0,"AI, Robotics, Sustainability",1,5,33000,14662,47662,1,50,1,,,17.0,,2026-04-29,
University of British Columbia,Canada,,38,Graduate,"engineering, medicine, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"Climate, AI, Biomed",1,5,28000,14463,42463,1,100,1,January 15,,44.0,,2026-04-29,
Paris Sciences et Lettres – PSL Research University,France,,24,Graduate,"sciences, humanities, engineering","engineering, humanities, sciences, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.5,0,,6.5,79,110,5.0,"Physics, Social Sciences",1,3,3000,10108,13108,1,100,0,,,10.0,,2026-04-29,
KU Leuven,Belgium,,61,Graduate,"engineering, medicine, sciences","engineering, medicine, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.4,1,310.0,6.5,79,110,5.0,"AI, Biomed",1,3,6000,19253,25253,1,50,1,,,15.0,,2026-04-29,
The Chinese University of Hong Kong,Hong Kong,,36,Graduate,"medicine, business, engineering","business, engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering",3.5,1,310.0,6.5,79,110,5.0,"AI, Health",1,3,18000,8810,26810,1,100,0,February 28,,9.0,,2026-04-29,
McGill University,Canada,,29,Graduate,"medicine, law, engineering","engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"Neuroscience, AI",1,5,22000,14469,36469,1,100,1,January 15,,46.0,,2026-04-29,
University of Illinois at Urbana-Champaign,United States,,64,Graduate,"engineering, computer science, business","business, computer science, engineering, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.6,1,315.0,6.5,79,110,5.0,"AI, Materials",1,5,34000,13830,47830,1,50,0,,,44.0,,2026-04-29,
Universität Heidelberg,Germany,,84,Graduate,"medicine, sciences, humanities","humanities, medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"Cancer Research, AI",1,2,3000,19073,22073,1,50,1,,,12.0,,2026-04-29,
Zhejiang University,China,,47,Graduate,"engineering, medicine, sciences","engineering, medicine, sciences, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.6,1,315.0,6.0,60,100,5.0,"AI, Biotech",1,3,25000,19336,44336,1,100,0,,,8.0,,2026-04-29,
Karolinska Institute,Sweden,,6,Graduate,"medicine, public health","medicine, public health",3.4,0,,6.5,79,110,5.0,"Biomedical, Global Health",1,3,20000,9165,29165,1,100,0,January 15,,3.9,,2026-04-29,
London School of Economics and Political Science,United Kingdom,,45,Graduate,"economics, politics, law, social sciences","economics, law, politics, social sciences",3.7,0,,7.0,94,120,3.0,"Economics, Public Policy",1,5,32000,14391,46391,1,100,0,January 12,,9.0,,2026-04-29,
University of Texas at Austin,United States,,58,Graduate,"engineering, business, computer science","business, computer science, engineering, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Energy",1,5,22000,17135,39135,1,50,0,,,29.0,,2026-04-29,
Shanghai Jiao Tong University,China,,43,Graduate,"engineering, medicine, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.5,1,315.0,6.0,60,100,5.0,"AI, Robotics",1,3,28000,8775,36775,1,100,1,March 15,,7.0,,2026-04-29,
University of Manchester,United Kingdom,,34,Graduate,"engineering, medicine, business","business, engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, industrial engineering",3.5,0,,6.5,79,110,5.0,"Materials, AI",1,5,37000,12532,49532,1,100,1,March 31,,51.0,,2026-04-29,
University of Science and Technology of China,China,,47,Graduate,"sciences, engineering","engineering, sciences, mechanical engineering, electrical engineering, chemical engineering",3.6,1,315.0,6.0,60,100,5.0,"Quantum, AI",1,3,28000,9834,37834,1,100,1,,,5.0,,2026-04-29,
Kyoto University,Japan,,46,Graduate,"medicine, engineering, sciences","engineering, medicine, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.5,1,315.0,6.0,60,100,3.0,"Biotech, Materials",1,3,5000,14516,19516,1,100,1,February 14,August 31,18.0,,2026-04-29,
Delft University of Technology,Netherlands,,49,Graduate,"engineering, architecture","architecture, engineering, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, industrial engineering",3.4,0,,6.5,79,110,5.0,"Sustainable Engineering, AI",1,3,22000,17465,39465,1,100,1,April 1,,65.0,,2026-04-29,
University of Wisconsin-Madison,United States,,83,Graduate,"engineering, business, sciences","business, engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.5,1,315.0,6.5,79,110,3.0,"Data Science, Climate",1,5,26000,12335,38335,1,50,1,,,49.0,,2026-04-29,
Brown University,United States,,79,Graduate,"medicine, engineering, computer science","computer science, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.7,1,320.0,7.0,94,120,5.0,"Neuroscience, AI",1,5,63000,13739,76739,1,50,1,,,5.2,,2026-04-29,
Monash University,Australia,,37,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.4,0,,6.5,79,110,5.0,"AI, Sustainability",1,3,32000,8084,40084,1,100,1,October 31,May 31,28.0,,2026-04-29,
University of Amsterdam,Netherlands,,55,Graduate,"social sciences, economics, computer science","computer science, economics, social sciences",3.4,0,,6.5,79,110,5.0,"AI Ethics, Economics",1,3,15000,9417,24417,1,50,1,,,4.0,,2026-04-29,
The University of Sydney,Australia,,18,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.5,0,,6.5,79,110,5.0,"Health, AI",1,3,35000,16098,51098,1,100,0,November 30,May 31,30.0,,2026-04-29,
Seoul National University,South Korea,,31,Graduate,"engineering, medicine, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.5,1,310.0,6.0,60,100,5.0,"AI, Biotech",1,3,6000,16084,22084,1,100,1,March 31,September 30,15.0,,2026-04-29,
University of California Davis,United States,,118,Graduate,"agriculture, engineering, medicine","agriculture, engineering, medicine, mechanical engineering, electrical engineering, chemical engineering",3.5,1,315.0,6.5,79,110,5.0,"Food Science, AI",1,5,29000,8888,37888,1,50,0,,,37.0,,2026-04-29,
Université Paris-Saclay,France,,69,Graduate,"sciences, engineering","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.4,0,,6.0,60,100,5.0,"Physics, AI",1,3,3000,15578,18578,1,50,0,,,10.0,,2026-04-29,
Nanjing University,China,,141,Graduate,"sciences, engineering","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering, industrial engineering",3.5,1,310.0,6.0,60,100,5.0,"Materials, AI",1,3,25000,17122,42122,1,50,1,,,9.0,,2026-04-29,
The Hong Kong University of Science and Technology,Hong Kong,,47,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.5,1,310.0,6.5,79,110,5.0,"AI, Sustainability",1,3,18000,13907,31907,1,100,0,February 1,,10.0,,2026-04-29,
University of California Santa Barbara,United States,,178,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"Materials, Physics",1,5,34000,10397,44397,1,50,1,,,29.0,,2026-04-29,
Wageningen University & Research,Netherlands,,151,Graduate,"agriculture, environmental science","agriculture, environmental science",3.3,0,,6.5,79,110,5.0,"Food, Sustainability",1,3,19000,11128,30128,1,50,1,,,50.0,,2026-04-29,
Washington University in St Louis,United States,,108,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.7,1,320.0,7.0,94,120,5.0,"Biomed, AI",1,5,58000,13036,71036,1,50,1,,,11.0,,2026-04-29,
University of North Carolina at Chapel Hill,United States,,132,Graduate,"medicine, public health, business","business, medicine, public health",3.5,1,315.0,6.5,79,110,5.0,"Health, AI",1,5,37000,14155,51155,1,50,0,,,17.0,,2026-04-29,
Institut Polytechnique de Paris,France,,46,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.5,0,,6.5,79,110,5.0,"Math, AI",1,3,3000,18319,21319,1,100,0,,,10.0,,2026-04-29,
University of Southern California,United States,,80,Graduate,"engineering, business, cinema","business, cinema, engineering, mechanical engineering, electrical engineering, civil engineering",3.6,1,320.0,7.0,94,120,5.0,"AI, Entertainment",1,5,58000,12783,70783,1,50,0,,,12.0,,2026-04-29,
Australian National University,Australia,,30,Graduate,"sciences, law, engineering","engineering, law, sciences, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.4,0,,6.5,79,110,3.0,"Climate, Policy",1,3,32000,18432,50432,1,100,1,December 15,May 31,35.0,,2026-04-29,
Leiden University,Netherlands,,126,Graduate,"law, medicine, sciences","law, medicine, sciences",3.4,0,,6.5,79,110,5.0,"Bio, AI",1,3,20000,11491,31491,1,50,0,,,47.0,,2026-04-29,
Boston University,United States,,93,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.6,1,320.0,7.0,94,120,5.0,"Health, AI",1,5,58000,13271,71271,1,50,0,,,14.0,,2026-04-29,
Sorbonne University,France,,63,Graduate,"medicine, sciences, humanities","humanities, medicine, sciences",3.4,0,,6.0,60,100,5.0,"Physics, History",1,3,3000,12363,15363,1,50,1,,,15.0,,2026-04-29,
The University of Queensland,Australia,,40,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.4,0,,6.5,79,110,3.0,"Health, Mining",1,3,31000,14161,45161,1,100,0,November 30,May 31,30.0,,2026-04-29,
City University of Hong Kong,Hong Kong,,53,Graduate,"engineering, business, law","business, engineering, law, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.5,1,310.0,6.5,79,110,5.0,"AI, Law",1,3,18000,17881,35881,1,50,0,,,12.0,,2026-04-29,
University of Bristol,United Kingdom,,54,Graduate,"engineering, medicine, social sciences","engineering, medicine, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.5,0,,6.5,79,110,5.0,"AI, Climate",1,5,32000,9268,41268,1,50,0,,,60.0,,2026-04-29,
Purdue University West Lafayette,United States,,129,Graduate,"engineering, agriculture, computer science","agriculture, computer science, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Aerospace",1,5,31000,10691,41691,1,50,0,,,50.0,,2026-04-29,
University of Groningen,Netherlands,,159,Graduate,"medicine, engineering, sciences","engineering, medicine, sciences, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering, industrial engineering",3.3,0,,6.5,79,110,5.0,"Energy, AI",1,3,16000,13809,29809,1,50,1,,,50.0,,2026-04-29,
Korea Advanced Institute of Science and Technology (KAIST),South Korea,,41,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.5,1,310.0,6.0,60,100,5.0,"AI, Robotics",1,3,6000,19653,25653,1,100,1,March 31,September 30,18.0,,2026-04-29,
UNSW Sydney,Australia,,19,Graduate,"engineering, business, law","business, engineering, law, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, industrial engineering",3.4,0,,6.5,79,110,5.0,"AI, Sustainability",1,3,34000,9682,43682,1,100,0,November 30,May 31,30.0,,2026-04-29,
Humboldt University of Berlin,Germany,,120,Graduate,"social sciences, humanities, sciences","humanities, sciences, social sciences",3.3,1,310.0,6.5,79,110,5.0,"AI Ethics, History",1,2,3000,16123,19123,1,50,0,,,18.0,,2026-04-29,
The Hong Kong Polytechnic University,Hong Kong,,65,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.4,1,310.0,6.5,79,110,5.0,"AI, Design",1,3,18000,19928,37928,1,50,1,,,15.0,,2026-04-29,
University of Massachusetts,United States,,245,Graduate,"engineering, computer science","computer science, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, industrial engineering",3.4,1,310.0,6.5,79,110,5.0,"AI, Materials",1,5,35000,19721,54721,1,25,1,,,63.0,,2026-04-29,
University of Glasgow,United Kingdom,,78,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.5,0,,6.5,79,110,5.0,"AI, Health",1,5,31000,8395,39395,1,50,0,,,70.0,,2026-04-29,
University of Minnesota,United States,,203,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,30000,16595,46595,1,25,1,,,70.0,,2026-04-29,
University of Bonn,Germany,,239,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"Physics, AI",1,2,3000,9011,12011,1,25,0,,,15.0,,2026-04-29,
University of California Irvine,United States,,268,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,34000,14757,48757,1,25,0,,,21.0,,2026-04-29,
Vanderbilt University,United States,,108,Graduate,"medicine, engineering, business","business, engineering, medicine, mechanical engineering, electrical engineering, civil engineering",3.7,1,320.0,7.0,94,120,5.0,"AI, Health",1,5,58000,12809,70809,1,50,1,,,6.1,,2026-04-29,
RWTH Aachen University,Germany,,99,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.3,1,310.0,6.5,79,110,5.0,"AI, Manufacturing",1,2,3000,18186,21186,1,50,1,,,10.0,,2026-04-29,
Charité - Universitätsmedizin Berlin,Germany,,,Graduate,medicine,medicine,3.3,1,310.0,6.5,79,110,5.0,Biomedical,1,2,3000,9399,12399,1,25,1,,,5.0,,2026-04-29,
