Student_ID,GPA,IELTS,Research_Exp,Subject_Pref,ECA_Type,ECA_Level,Family_Income_USD,Budget_USD,Preferred_Country,Match_Success,arts,business,computer_science,engineering,medicine
S085,2.97,8.0,1,arts,Leadership,0,45510,14067,Canada,0,1,0,0,0,0
S086,2.99,7.0,0,engineering,Leadership,3,26826,35872,Australia,0,0,0,0,1,0
S087,3.59,7.5,1,medicine,Leadership,3,73026,12728,Australia,1,0,0,0,0,1
S088,3.46,8.0,0,computer science,Arts,0,126668,31566,United States,1,0,0,1,0,0
S089,3.83,8.0,1,computer science,Professional,2,29045,31783,Australia,1,0,0,1,0,0
S090,3.21,6.5,0,arts,Arts,3,95102,58513,Australia,1,1,0,0,0,0
S091,2.68,5.5,1,medicine,Sports,1,56919,22583,Australia,0,0,0,0,0,1
S092,3.57,5.5,1,business,Leadership,0,104441,22238,Canada,0,0,1,0,0,0
S093,3.64,7.5,0,medicine,Sports,5,141917,9263,United States,1,0,0,0,0,1
S094,3.34,7.5,0,computer science,STEM,4,123325,3914,Australia,0,0,0,1,0,0
S095,3.66,8.0,1,computer science,STEM,2,24337,25749,Australia,1,0,0,1,0,0
S096,3.24,6.0,0,medicine,Arts,0,82949,21456,Canada,0,0,0,0,0,1
S097,3.28,6.5,0,medicine,Professional,4,5276,27582,United States,0,0,0,0,0,1
S098,3.14,6.5,0,computer science,Sports,4,56151,2406,Germany,0,0,0,1,0,0
S099,2.54,8.0,0,business,Professional,5,148016,15689,Canada,0,0,1,0,0,0
S100,2.66,7.0,1,arts,Arts,3,57887,34934,United States,0,1,0,0,0,0
S101,2.55,6.0,0,arts,STEM,5,86442,35276,Australia,0,1,0,0,0,0
S102,3.45,8.0,0,medicine,Professional,3,54847,52813,United States,1,0,0,0,0,1
S103,2.97,6.0,0,arts,Professional,3,63653,38432,United States,0,1,0,0,0,0
S104,3.26,6.0,0,computer science,STEM,0,61622,21873,United States,0,0,0,1,0,0
S105,3.86,6.0,0,computer science,Sports,0,32810,15050,Germany,1,0,0,1,0,0
S106,2.87,8.0,0,medicine,STEM,2,82842,2680,United States,0,0,0,0,0,1
S107,3.12,6.5,1,medicine,Professional,3,127225,20908,Germany,0,0,0,0,0,1
S108,3.63,6.5,0,medicine,Sports,4,15503,20504,Australia,1,0,0,0,0,1
S109,2.84,6.0,0,business,Sports,1,89761,23644,Germany,0,0,1,0,0,0
S110,2.62,7.0,1,arts,STEM,2,131439,39125,Australia,0,1,0,0,0,0
S111,2.93,5.5,0,medicine,Professional,0,16590,3363,Australia,0,0,0,0,0,1
S112,2.74,8.0,1,engineering,Arts,5,146958,44291,Germany,0,0,0,0,1,0
S113,3.89,5.5,0,engineering,Professional,2,148938,37060,Canada,0,0,0,0,1,0
S114,3.71,7.0,0,computer science,Leadership,2,71624,3538,United Kingdom,0,0,0,1,0,0
S115,3.45,8.0,0,arts,Arts,2,145836,38176,United States,1,1,0,0,0,0
S116,3.81,6.0,0,medicine,Sports,2,125356,58894,United Kingdom,1,0,0,0,0,1
S117,3.71,6.5,1,engineering,Arts,1,47727,43520,United States,1,0,0,0,1,0
S118,2.78,5.5,0,arts,Sports,5,83471,27675,United States,0,1,0,0,0,0
S119,3.84,7.5,0,computer science,Sports,5,13068,20287,Australia,1,0,0,1,0,0
S120,3.31,7.5,0,business,Arts,5,121923,2174,United States,0,0,1,0,0,0
S121,3.71,7.0,0,arts,Sports,3,143367,28732,United States,0,1,0,0,0,0
S122,3.84,6.0,1,arts,Sports,4,16390,36998,Germany,1,1,0,0,0,0
S123,2.98,5.5,0,business,Leadership,5,111752,39055,United Kingdom,0,0,1,0,0,0
S124,2.67,6.0,0,arts,Professional,2,99754,55312,Germany,0,1,0,0,0,0
S125,2.84,5.5,0,computer science,Professional,2,80969,14112,United States,0,0,0,1,0,0
S126,3.14,7.0,0,computer science,Leadership,5,82064,41874,Australia,1,0,0,1,0,0
S127,3.73,7.0,1,business,Arts,5,26281,11689,Germany,1,0,1,0,0,0
S128,3.79,7.5,0,medicine,STEM,2,59189,46814,Germany,1,0,0,0,0,1
S129,2.51,6.0,1,engineering,STEM,3,53511,21555,Canada,0,0,0,0,1,0
S130,3.27,8.0,0,medicine,STEM,0,127115,52719,United States,1,0,0,0,0,1
S131,3.13,7.5,0,arts,Leadership,0,13605,35919,Australia,1,1,0,0,0,0
S132,2.83,6.0,1,engineering,Leadership,5,105318,9619,Germany,0,0,0,0,1,0
S133,2.68,7.5,0,business,Sports,1,137453,8033,Germany,0,0,1,0,0,0
S134,3.01,8.0,0,business,STEM,5,24810,43328,Australia,1,0,1,0,0,0
S135,3.91,6.5,1,engineering,Arts,5,46869,6946,United States,1,0,0,0,1,0
S136,2.98,6.5,0,computer science,Arts,0,37955,26618,Canada,0,0,0,1,0,0
S137,3.28,6.5,1,engineering,STEM,2,66388,36675,Germany,1,0,0,0,1,0
S138,3.55,6.5,0,arts,STEM,5,15207,38258,Canada,1,1,0,0,0,0
S139,3.05,5.5,1,computer science,STEM,2,27031,20919,United Kingdom,0,0,0,1,0,0
S140,3.96,6.5,1,business,Leadership,2,85807,6173,United States,1,0,1,0,0,0
S141,3.94,8.0,0,engineering,Leadership,1,76312,45833,United Kingdom,1,0,0,0,1,0
S142,2.88,7.0,1,medicine,Leadership,2,64766,28400,United Kingdom,0,0,0,0,0,1
S143,3.25,7.0,0,medicine,Professional,0,148521,52445,United Kingdom,1,0,0,0,0,1
S144,2.95,5.5,1,arts,Arts,3,94833,6769,United States,0,1,0,0,0,0
S145,2.93,6.5,0,medicine,Arts,3,116041,39564,United States,0,0,0,0,0,1
S146,2.56,6.5,0,engineering,Sports,4,121185,47814,Australia,0,0,0,0,1,0
S147,3.41,6.5,0,engineering,Leadership,5,15350,16211,Canada,1,0,0,0,1,0
S148,3.25,7.5,0,medicine,Professional,0,105859,25255,Canada,0,0,0,0,0,1
S149,2.58,6.0,0,engineering,Professional,2,73487,29962,Australia,0,0,0,0,1,0
S150,2.92,7.5,1,arts,Arts,3,128853,21356,Australia,0,1,0,0,0,0
S151,3.86,6.0,1,computer science,Leadership,0,58117,22306,United Kingdom,1,0,0,1,0,0
S152,2.86,6.5,1,arts,Sports,3,106084,6997,Australia,0,1,0,0,0,0
S153,2.72,6.5,0,arts,Leadership,2,28782,58184,Germany,0,1,0,0,0,0
S154,3.23,7.5,0,engineering,STEM,3,33454,19376,Canada,0,0,0,0,1,0
S155,3.98,7.5,0,computer science,Leadership,5,72904,42880,Australia,1,0,0,1,0,0
S156,2.86,6.0,0,engineering,STEM,5,134936,40055,Germany,0,0,0,0,1,0
S157,3.51,7.0,0,business,STEM,4,127258,12578,Germany,0,0,1,0,0,0
S158,3.64,6.0,0,engineering,Sports,4,116668,20624,Germany,1,0,0,0,1,0
S159,2.86,7.5,1,engineering,Arts,3,129184,52628,Germany,0,0,0,0,1,0
S160,3.59,8.0,0,engineering,Leadership,0,21566,41194,United Kingdom,1,0,0,0,1,0
S161,3.05,7.5,0,computer science,STEM,5,143262,46367,Germany,1,0,0,1,0,0
S162,3.45,8.0,0,engineering,Leadership,0,43333,2389,United Kingdom,0,0,0,0,1,0
S163,3.45,5.5,0,computer science,Arts,0,126929,35767,United Kingdom,0,0,0,1,0,0
S164,3.3,7.5,0,medicine,Arts,3,94571,47580,Germany,1,0,0,0,0,1
S165,2.64,5.5,1,business,Professional,0,125263,50367,Canada,0,0,1,0,0,0
S166,3.75,7.0,0,computer science,Arts,5,137661,3855,Germany,1,0,0,1,0,0
S167,2.98,6.0,0,medicine,Sports,2,30235,42893,Germany,0,0,0,0,0,1
S168,2.78,8.0,0,computer science,STEM,4,5159,15794,Germany,0,0,0,1,0,0
S169,2.56,6.0,1,computer science,Professional,2,148217,37531,Canada,0,0,0,1,0,0
S170,3.39,5.5,1,business,Sports,0,109859,54815,United States,0,0,1,0,0,0
S171,3.52,8.0,1,arts,Leadership,2,112507,6986,United States,0,1,0,0,0,0
S172,2.52,6.0,0,arts,STEM,5,144316,34298,United Kingdom,0,1,0,0,0,0
S173,3.27,7.5,0,computer science,Arts,5,19743,3481,United Kingdom,0,0,0,1,0,0
S174,2.84,6.5,0,engineering,STEM,0,51101,58408,Canada,0,0,0,0,1,0
S175,3.47,5.5,1,medicine,Leadership,3,126534,5731,Australia,0,0,0,0,0,1
S176,2.76,6.0,1,engineering,Professional,2,89227,58414,United States,0,0,0,0,1,0
S177,3.54,5.5,0,engineering,Professional,3,76126,18835,United Kingdom,0,0,0,0,1,0
S178,3.08,5.5,1,computer science,Professional,3,61071,29798,United States,0,0,0,1,0,0
S179,3.91,8.0,1,computer science,Arts,1,79763,28113,Canada,1,0,0,1,0,0
S180,2.71,8.0,0,computer science,Sports,0,148309,21477,Canada,0,0,0,1,0,0
S181,3.01,6.5,1,computer science,Sports,4,51154,19266,Australia,0,0,0,1,0,0
S182,2.67,7.5,1,arts,STEM,5,12016,22792,Australia,0,1,0,0,0,0
S183,3.89,5.5,0,computer science,Arts,5,94678,22452,Canada,0,0,0,1,0,0
S184,3.82,6.0,0,arts,Professional,0,117056,45526,United Kingdom,1,1,0,0,0,0
S185,2.89,7.0,0,arts,Professional,4,59238,54429,United States,0,1,0,0,0,0
S186,3.49,5.5,0,computer science,Leadership,5,63608,51079,Germany,0,0,0,1,0,0
S187,3.73,5.5,0,business,Leadership,0,94081,43334,Australia,0,0,1,0,0,0
S188,3.33,6.5,0,medicine,Professional,5,55961,13889,Germany,0,0,0,0,0,1
S189,3.29,7.5,1,engineering,Professional,3,31917,26335,United Kingdom,0,0,0,0,1,0
S190,2.86,7.0,0,arts,Arts,2,32990,13254,Australia,0,1,0,0,0,0
S191,2.64,8.0,0,medicine,Sports,2,67551,23074,Germany,0,0,0,0,0,1
S192,3.85,8.0,0,business,Leadership,5,85811,13442,United Kingdom,1,0,1,0,0,0
S193,3.85,6.0,0,engineering,Sports,1,60103,48289,United States,1,0,0,0,1,0
S194,3.45,7.0,1,engineering,Arts,4,111122,55747,United Kingdom,1,0,0,0,1,0
S195,3.01,8.0,0,arts,Professional,4,24008,39327,Australia,1,1,0,0,0,0
S196,3.02,6.0,0,computer science,Sports,4,37402,18199,Canada,0,0,0,1,0,0
S197,3.59,7.5,0,business,Professional,3,141865,9291,United States,0,0,1,0,0,0
S198,3.85,6.0,1,arts,Professional,4,141643,42928,Germany,1,1,0,0,0,0
S199,3.83,8.0,1,business,STEM,2,118550,2112,Australia,1,0,1,0,0,0
S200,3.67,6.5,0,computer science,Sports,3,96218,23515,Canada,0,0,0,1,0,0
S201,3.46,6.5,0,computer science,Sports,0,138296,21581,United Kingdom,0,0,0,1,0,0
S202,2.63,6.5,0,arts,Professional,4,125779,50692,Canada,0,1,0,0,0,0
S203,2.74,8.0,0,computer science,Arts,4,134714,28500,Australia,0,0,0,1,0,0
S204,3.85,6.5,0,medicine,STEM,0,37441,34026,Australia,1,0,0,0,0,1
S205,3.41,7.0,0,engineering,Professional,4,67368,18523,Canada,0,0,0,0,1,0
S206,2.51,7.5,0,arts,Leadership,0,97122,3424,United Kingdom,0,1,0,0,0,0
S207,2.65,6.0,0,business,Leadership,3,49760,54101,Canada,0,0,1,0,0,0
S208,3.5,6.0,1,medicine,STEM,2,28478,21552,Australia,1,0,0,0,0,1
S209,2.51,8.0,0,arts,Arts,0,132881,59860,Australia,0,1,0,0,0,0
S210,2.74,6.5,0,computer science,Professional,1,76854,12808,Germany,0,0,0,1,0,0
S211,3.32,6.5,0,computer science,Sports,0,99230,40811,Germany,1,0,0,1,0,0
S212,3.54,5.5,0,computer science,STEM,4,90716,8989,United States,0,0,0,1,0,0
S213,3.48,7.5,1,computer science,Arts,3,148252,25620,Australia,1,0,0,1,0,0
S214,2.84,7.0,0,business,Sports,5,103538,41029,Germany,0,0,1,0,0,0
S215,3.57,6.0,0,medicine,Leadership,3,20372,2887,Canada,0,0,0,0,0,1
S216,2.86,5.5,1,engineering,Leadership,5,34796,33802,United Kingdom,0,0,0,0,1,0
S217,2.99,5.5,0,business,Sports,0,103826,21488,Canada,0,0,1,0,0,0
S218,3.62,8.0,0,business,STEM,2,125592,32013,United Kingdom,1,0,1,0,0,0
S219,3.47,6.0,1,engineering,Leadership,1,98635,51201,Germany,1,0,0,0,1,0
S220,3.77,8.0,0,engineering,Professional,3,116022,55103,United States,1,0,0,0,1,0
S221,3.49,7.0,0,computer science,Sports,4,59040,54712,Canada,1,0,0,1,0,0
S222,3.35,5.5,1,business,Sports,5,80357,18402,Canada,0,0,1,0,0,0
S223,2.64,5.5,0,arts,Leadership,4,83356,23205,Canada,0,1,0,0,0,0
S224,3.05,7.5,0,engineering,STEM,2,21211,57492,United Kingdom,1,0,0,0,1,0
S225,2.9,7.0,0,engineering,Professional,5,110426,59210,Germany,0,0,0,0,1,0
S226,2.87,5.5,1,medicine,STEM,3,10842,28049,Canada,0,0,0,0,0,1
S227,3.96,7.0,0,arts,Arts,0,71852,14253,Canada,1,1,0,0,0,0
S228,3.09,6.0,0,arts,Arts,4,130737,20990,United States,0,1,0,0,0,0
S229,3.84,6.5,0,engineering,Leadership,2,50968,9846,United States,1,0,0,0,1,0
S230,3.45,5.5,0,computer science,Leadership,3,22508,27027,Germany,0,0,0,1,0,0
S231,3.69,7.5,0,medicine,Leadership,3,59575,41200,Germany,1,0,0,0,0,1
S232,3.25,6.0,0,arts,Arts,3,71914,48220,Australia,1,1,0,0,0,0
S233,3.37,7.0,0,engineering,STEM,3,72055,48163,United States,1,0,0,0,1,0
S234,3.24,8.0,0,arts,STEM,5,92697,5765,Australia,0,1,0,0,0,0
S235,2.79,6.0,0,medicine,Leadership,3,111239,53590,United Kingdom,0,0,0,0,0,1
S236,3.58,5.5,0,medicine,Professional,4,128106,17950,Australia,0,0,0,0,0,1
S237,2.92,7.0,0,business,STEM,2,10355,47270,Canada,0,0,1,0,0,0
S238,2.54,6.5,0,engineering,Arts,5,59120,11741,Australia,0,0,0,0,1,0
S239,3.47,6.0,1,medicine,Sports,3,43342,24742,Germany,1,0,0,0,0,1
S240,2.77,5.5,0,business,Sports,1,7257,26703,United Kingdom,0,0,1,0,0,0
S241,3.91,7.5,0,business,Sports,1,32364,40709,Canada,1,0,1,0,0,0
S242,3.93,8.0,0,arts,Professional,2,116715,58796,Australia,1,1,0,0,0,0
S243,3.87,7.0,1,arts,Leadership,0,31654,39623,United Kingdom,1,1,0,0,0,0
S244,3.06,6.0,1,business,Arts,0,86423,24931,United Kingdom,0,0,1,0,0,0
S245,2.52,6.0,0,arts,Professional,5,34320,25580,Canada,0,1,0,0,0,0
S246,3.89,6.5,0,medicine,Arts,5,25808,57063,Australia,1,0,0,0,0,1
S247,3.14,6.5,1,computer science,Arts,5,57389,57633,United Kingdom,1,0,0,1,0,0
S248,3.95,7.5,0,medicine,Leadership,0,123581,17166,United Kingdom,1,0,0,0,0,1
S249,3.95,8.0,0,business,Sports,1,132927,53913,United States,1,0,1,0,0,0
S250,3.78,7.5,0,business,Leadership,0,39773,55608,United Kingdom,1,0,1,0,0,0
S251,2.94,5.5,0,medicine,Professional,4,81396,31240,United States,0,0,0,0,0,1
S252,3.08,5.5,1,arts,Professional,3,112692,27991,Australia,0,1,0,0,0,0
S253,3.78,7.5,1,arts,Professional,5,62505,57513,Australia,1,1,0,0,0,0
S254,2.98,8.0,0,business,Leadership,1,90896,56845,Australia,0,0,1,0,0,0
S255,2.75,7.5,0,engineering,Arts,2,23135,40556,Germany,0,0,0,0,1,0
S256,3.34,8.0,1,arts,Arts,2,95887,34969,Australia,1,1,0,0,0,0
S257,3.9,8.0,1,medicine,STEM,3,127118,57312,United Kingdom,1,0,0,0,0,1
S258,3.54,7.0,0,arts,Professional,1,52377,12561,Canada,0,1,0,0,0,0
S259,3.36,8.0,1,medicine,Arts,0,67491,18901,United States,0,0,0,0,0,1
S260,2.65,6.5,1,business,STEM,0,63283,42505,Germany,0,0,1,0,0,0
S261,3.42,8.0,1,arts,Arts,4,21923,32020,Australia,1,1,0,0,0,0
S262,3.99,8.0,0,medicine,Professional,4,52591,27917,Australia,1,0,0,0,0,1
S263,2.71,8.0,0,business,Sports,0,67261,3988,Canada,0,0,1,0,0,0
S264,3.28,5.5,1,engineering,Professional,2,59336,50209,Canada,0,0,0,0,1,0
S265,3.82,6.5,0,medicine,Leadership,5,79083,46505,Germany,1,0,0,0,0,1
S266,3.61,6.5,1,engineering,Arts,2,65948,16256,United States,1,0,0,0,1,0
S267,3.55,7.5,0,engineering,Arts,4,31672,54954,Australia,1,0,0,0,1,0
S268,3.55,7.0,0,computer science,Leadership,3,9213,24192,Germany,1,0,0,1,0,0
S269,3.04,8.0,0,arts,Leadership,0,146365,30230,United Kingdom,1,1,0,0,0,0
S270,2.94,6.0,0,medicine,Sports,4,67507,41930,United Kingdom,0,0,0,0,0,1
S271,3.71,7.0,1,engineering,Arts,4,62134,47833,Germany,1,0,0,0,1,0
S272,3.72,7.0,1,computer science,Arts,5,138172,24625,Australia,1,0,0,1,0,0
S273,3.8,6.5,1,business,Sports,0,33172,34088,Germany,1,0,1,0,0,0
S274,3.87,7.0,0,medicine,STEM,5,25132,16114,Australia,1,0,0,0,0,1
S275,3.27,8.0,0,engineering,Sports,0,23199,43167,Canada,1,0,0,0,1,0
S276,3.25,8.0,0,arts,Professional,5,41609,40401,Germany,1,1,0,0,0,0
S277,3.7,5.5,0,computer science,Arts,2,144088,7755,Australia,0,0,0,1,0,0
S278,3.47,8.0,0,engineering,Leadership,3,36881,12825,Germany,0,0,0,0,1,0
S279,3.55,8.0,0,arts,Professional,3,29472,24693,Germany,0,1,0,0,0,0
S280,3.69,6.5,0,engineering,Arts,0,59131,6117,Australia,0,0,0,0,1,0
S281,3.84,8.0,0,medicine,Sports,1,17828,26729,Australia,1,0,0,0,0,1
S282,3.01,5.5,1,medicine,Professional,4,101664,34182,United States,0,0,0,0,0,1
S283,3.06,6.0,1,medicine,Arts,4,137473,30890,Germany,1,0,0,0,0,1
S284,2.64,6.5,0,computer science,STEM,0,20193,31340,United Kingdom,0,0,0,1,0,0
S285,3.37,6.0,0,medicine,STEM,5,107518,3518,Germany,0,0,0,0,0,1
S286,2.55,6.5,1,arts,Leadership,1,24611,32949,Germany,0,1,0,0,0,0
S287,3.2,7.5,0,engineering,Arts,2,148022,24547,Australia,0,0,0,0,1,0
S288,3.31,7.0,1,business,STEM,5,81240,18346,Germany,0,0,1,0,0,0
S289,2.93,7.5,1,arts,Sports,5,7745,4600,Germany,0,1,0,0,0,0
S290,3.39,8.0,0,arts,Arts,0,60243,48005,United Kingdom,1,1,0,0,0,0
S291,2.55,6.0,0,medicine,Sports,0,8866,53347,Australia,0,0,0,0,0,1
S292,2.56,8.0,0,computer science,Sports,4,133681,31267,Germany,0,0,0,1,0,0
S293,3.73,7.0,0,engineering,STEM,0,76354,38322,Canada,1,0,0,0,1,0
S294,3.04,6.5,0,computer science,Arts,0,56374,28990,United States,0,0,0,1,0,0
S295,2.69,7.0,1,engineering,Professional,0,119397,18193,United Kingdom,0,0,0,0,1,0
S296,3.28,5.5,0,engineering,STEM,4,129577,32109,Germany,0,0,0,0,1,0
S297,3.65,7.0,0,computer science,STEM,2,86029,21233,Canada,0,0,0,1,0,0
S298,2.82,5.5,1,arts,Arts,2,98574,50021,Germany,0,1,0,0,0,0
S299,3.43,7.0,1,engineering,Arts,0,35431,18194,Germany,1,0,0,0,1,0
S300,2.63,5.5,0,computer science,Sports,4,34336,36510,Australia,0,0,0,1,0,0
S301,2.58,6.0,0,engineering,Arts,2,45992,3306,Australia,0,0,0,0,1,0
S302,3.3,8.0,0,business,Sports,5,60350,5849,Australia,0,0,1,0,0,0
S303,3.31,8.0,0,arts,STEM,2,74561,14360,Canada,0,1,0,0,0,0
S304,3.46,7.5,0,medicine,Leadership,2,56955,47536,Germany,1,0,0,0,0,1
S305,3.59,8.0,0,engineering,Professional,4,66240,58671,United States,1,0,0,0,1,0
S306,3.96,6.5,1,business,STEM,5,142227,31231,United Kingdom,1,0,1,0,0,0
S307,3.27,7.0,0,medicine,Arts,4,51607,47800,Australia,1,0,0,0,0,1
