university_name,country,degree_level,programs_offered,qs_ranking,min_gpa,min_gre,Ielts_requirement,tuition_fee,acceptance_rate,research_focus,scholarship_available,max_coverage_percent,research_weight,eca_weight,living_cost,total_cost_estimated,work_visa_available,agriculture,architecture,arts,arts_&_humanities,astronomy,biology,biotech,business,chemistry,cinema,computer_science,computing,design,economics,education,energy,engineering,environmental_science,environmental_studies,film_&_media,game_design,hotel_management,humanities,informatics,international_affairs,international_relations,journalism,law,life_sciences,management,marine_sciences,materials,materials_science,mathematics,medicine,meteorology,natural_sciences,physical_sciences,physics,politics,public_affairs,public_health,public_policy,robotics,sciences,social_sciences,theology,tourism,wind_energy,mechanical_engineering,electrical_engineering,civil_engineering,chemical_engineering,aerospace_engineering,biomedical_engineering,industrial_engineering
ETH Zurich,Switzerland,Graduate,"engineering, computer science, physics, mathematics, biology",7,3.6,315.0,6.5,1800,27.0,"Robotics & AI, Quantum Technologies, Climate & Sustainability, Materials Science",1,100,5,3,9989,11789,1,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,1
Tsinghua University,China,Graduate,"engineering, computer science, business, economics, architecture",14,3.7,320.0,6.5,28000,6.0,"AI & Advanced Manufacturing, Renewable Energy, Biotech, Urban Planning",1,100,5,3,12889,40889,0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
Peking University,China,Graduate,"medicine, law, business, social sciences, humanities",18,3.7,318.0,6.5,25000,7.0,"Biomedical Research, International Relations, Economics, AI Ethics",1,100,5,3,16865,41865,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
The University of Chicago,United States,Graduate,"business, economics, law, social sciences, physical sciences",11,3.8,325.0,7.0,62000,5.4,"Economics & Finance, Public Policy, Quantum Science, Biomedical",1,100,5,5,8399,70399,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
University of Pennsylvania,United States,Graduate,"business, medicine, law, engineering, social sciences",12,3.8,322.0,7.0,57000,6.5,"Healthcare Innovation, Finance & Entrepreneurship, Neuroscience, Social Policy",1,100,2,5,19447,76447,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,1,1,1,0,0,0
Johns Hopkins University,United States,Graduate,"medicine, public health, engineering, biology, international relations",16,3.7,325.0,7.0,61000,6.3,"Biomedical Research, Global Health, AI in Medicine, Neuroscience",1,100,5,5,8101,69101,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
National University of Singapore,Singapore,Graduate,"engineering, computer science, business, medicine, law",8,3.6,320.0,6.5,27000,7.2,"AI & Smart Systems, Biomedical Engineering, Sustainable Urban Solutions",1,100,5,3,16370,43370,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,1
Columbia University,United States,Graduate,"journalism, law, business, engineering, international affairs",23,3.7,325.0,7.0,65000,3.7,"Climate & Sustainability, Data Science, Global Health, Finance",1,100,5,5,9670,74670,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,1
"University of California, Los Angeles",United States,Graduate,"film & media, engineering, business, medicine, environmental science",29,3.7,320.0,6.5,33000,8.8,"Film & Entertainment, AI & Data Science, Environmental Science, Biotech",1,100,5,5,13372,46372,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,1
Cornell University,United States,Graduate,"engineering, hotel management, law, agriculture, computer science",20,3.7,320.0,7.0,61000,7.3,"AI & Robotics, Sustainable Agriculture, Hotel & Tourism Management",1,100,5,5,18417,79417,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,0
University of Toronto,Canada,Graduate,"engineering, computer science, medicine, business, law",29,3.6,324.0,6.5,26964,43.0,"AI & Quantum, Biomedical, Climate Change",1,100,5,5,14944,41908,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
UCL,United Kingdom,Graduate,"engineering, medicine, computer science, law, social sciences",9,3.7,,7.0,35000,36.0,"Neuroscience, AI, Global Health",1,100,5,5,19723,54723,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,1,1,1,0,0,0
University of Michigan - Ann Arbor,United States,Graduate,"engineering, business, medicine, law, social sciences",33,3.7,320.0,6.5,52000,17.7,"Autonomous Vehicles, Data Science, Public Health",1,100,3,5,18447,70447,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,1,1,1,1,1,0
Carnegie Mellon University,United States,Graduate,"computer science, engineering, robotics, business",52,3.7,325.0,7.0,59000,11.0,"AI, Cybersecurity, Robotics",1,50,5,5,19146,78146,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1,1,1,0,0
University of Washington,United States,Graduate,"computer science, engineering, medicine, environmental science",63,3.6,315.0,6.5,31000,47.0,"Big Data, Climate, Health Informatics",1,50,3,5,10286,41286,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,1
Technical University of Munich,Germany,Graduate,"engineering, computer science, physics, management",28,3.4,310.0,6.5,3000,8.0,"AI, Sustainable Mobility, Quantum",1,100,5,2,12732,15732,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,0
Duke University,United States,Graduate,"medicine, law, business, engineering",25,3.8,322.0,7.0,62000,5.7,"Biomedicine, Environmental Policy",1,100,3,5,9476,71476,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
The University of Tokyo,Japan,Graduate,"engineering, medicine, law, sciences",32,3.6,315.0,6.0,5000,20.0,"Robotics, Materials, Disaster Science",1,100,5,3,17516,22516,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0
University of Edinburgh,United Kingdom,Graduate,"medicine, informatics, social sciences",27,3.6,,6.5,36777,41.0,"AI, Climate, Data Science",1,100,5,5,11859,48636,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Nanyang Technological University Singapore,Singapore,Graduate,"engineering, business, medicine",15,3.6,315.0,6.5,22000,25.0,"AI, Sustainability, Materials",1,100,5,3,19569,41569,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,1
Northwestern University,United States,Graduate,"business, medicine, law, engineering",50,3.8,322.0,7.0,61000,7.0,"Materials Science, Neuroscience",1,100,3,5,15568,76568,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,1
École Polytechnique Fédérale de Lausanne,Switzerland,Graduate,"engineering, computer science, life sciences",22,3.6,310.0,6.5,1800,12.0,"Robotics, Energy, Neuroscience",1,100,5,3,15755,17555,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,0,0
New York University,United States,Graduate,"business, law, computer science, arts",43,3.7,320.0,7.0,58000,8.0,"AI Ethics, Finance, Urban Studies",1,100,5,5,9111,67111,0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
University of California San Diego,United States,Graduate,"engineering, medicine, biology, computer science",62,3.6,320.0,6.5,34000,24.0,"Biotech, Climate, AI",1,50,5,5,13693,47693,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,1,0
University of Hong Kong,Hong Kong,Graduate,"medicine, law, engineering, business",26,3.6,310.0,6.5,22000,12.0,"AI, Biomedicine, Law",1,100,5,3,8711,30711,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,1
Fudan University,China,Graduate,"medicine, business, social sciences",44,3.6,315.0,6.0,25000,6.0,"AI, Finance, Public Health",1,100,5,3,16190,41190,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
King’s College London,United Kingdom,Graduate,"medicine, law, business, humanities",40,3.6,,7.0,38000,17.0,"Neuroscience, Global Health",1,100,3,5,13357,51357,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
LMU Munich,Germany,Graduate,"medicine, law, business, sciences",59,3.4,310.0,6.5,3000,10.0,"Biomedicine, AI",1,50,5,2,12613,15613,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of Melbourne,Australia,Graduate,"medicine, engineering, business",13,3.5,,6.5,31284,19.7,"AI, Climate, Health",1,100,5,3,10837,42121,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,1,0
Georgia Institute of Technology,United States,Graduate,"engineering, computer science, business",97,3.6,320.0,6.5,33000,17.0,"AI, Robotics, Sustainability",1,50,5,5,14662,47662,1,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,1
University of British Columbia,Canada,Graduate,"engineering, medicine, business",38,3.5,315.0,6.5,28000,44.0,"Climate, AI, Biomed",1,100,5,5,14463,42463,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,0
Paris Sciences et Lettres – PSL Research University,France,Graduate,"sciences, humanities, engineering",24,3.5,,6.5,3000,10.0,"Physics, Social Sciences",1,100,5,3,10108,13108,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,1,0,0
KU Leuven,Belgium,Graduate,"engineering, medicine, sciences",61,3.4,310.0,6.5,6000,15.0,"AI, Biomed",1,50,5,3,19253,25253,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1,0
The Chinese University of Hong Kong,Hong Kong,Graduate,"medicine, business, engineering",36,3.5,310.0,6.5,18000,9.0,"AI, Health",1,100,5,3,8810,26810,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,1,0
McGill University,Canada,Graduate,"medicine, law, engineering",29,3.5,315.0,6.5,22000,46.0,"Neuroscience, AI",1,100,5,5,14469,36469,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,0
University of Illinois at Urbana-Champaign,United States,Graduate,"engineering, computer science, business",64,3.6,315.0,6.5,34000,44.0,"AI, Materials",1,50,5,5,13830,47830,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,1
Universität Heidelberg,Germany,Graduate,"medicine, sciences, humanities",84,3.3,310.0,6.5,3000,12.0,"Cancer Research, AI",1,50,5,2,19073,22073,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Zhejiang University,China,Graduate,"engineering, medicine, sciences",47,3.6,315.0,6.0,25000,8.0,"AI, Biotech",1,100,5,3,19336,44336,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,0,0,1
Karolinska Institute,Sweden,Graduate,"medicine, public health",6,3.4,,6.5,20000,3.9,"Biomedical, Global Health",1,100,5,3,9165,29165,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
London School of Economics and Political Science,United Kingdom,Graduate,"economics, politics, law, social sciences",45,3.7,,7.0,32000,9.0,"Economics, Public Policy",1,100,3,5,14391,46391,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
University of Texas at Austin,United States,Graduate,"engineering, business, computer science",58,3.5,315.0,6.5,22000,29.0,"AI, Energy",1,50,5,5,17135,39135,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,1,0
Shanghai Jiao Tong University,China,Graduate,"engineering, medicine, business",43,3.5,315.0,6.0,28000,7.0,"AI, Robotics",1,100,5,3,8775,36775,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,0,0
University of Manchester,United Kingdom,Graduate,"engineering, medicine, business",34,3.5,,6.5,37000,51.0,"Materials, AI",1,100,5,5,12532,49532,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,0,1
University of Science and Technology of China,China,Graduate,"sciences, engineering",47,3.6,315.0,6.0,28000,5.0,"Quantum, AI",1,100,5,3,9834,37834,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,0,1,0,0,0
Kyoto University,Japan,Graduate,"medicine, engineering, sciences",46,3.5,315.0,6.0,5000,18.0,"Biotech, Materials",1,100,3,3,14516,19516,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1,1
Delft University of Technology,Netherlands,Graduate,"engineering, architecture",49,3.4,,6.5,22000,65.0,"Sustainable Engineering, AI",1,100,5,3,17465,39465,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,0,1
University of Wisconsin-Madison,United States,Graduate,"engineering, business, sciences",83,3.5,315.0,6.5,26000,49.0,"Data Science, Climate",1,50,3,5,12335,38335,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0
Brown University,United States,Graduate,"medicine, engineering, computer science",79,3.7,320.0,7.0,63000,5.2,"Neuroscience, AI",1,50,5,5,13739,76739,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,1,0
Monash University,Australia,Graduate,"medicine, engineering, business",37,3.4,,6.5,32000,28.0,"AI, Sustainability",1,100,5,3,8084,40084,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of Amsterdam,Netherlands,Graduate,"social sciences, economics, computer science",55,3.4,,6.5,15000,4.0,"AI Ethics, Economics",1,50,5,3,9417,24417,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
The University of Sydney,Australia,Graduate,"medicine, engineering, business",18,3.5,,6.5,35000,30.0,"Health, AI",1,100,5,3,16098,51098,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,1
Seoul National University,South Korea,Graduate,"engineering, medicine, business",31,3.5,310.0,6.0,6000,15.0,"AI, Biotech",1,100,5,3,16084,22084,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,0
University of California Davis,United States,Graduate,"agriculture, engineering, medicine",118,3.5,315.0,6.5,29000,37.0,"Food Science, AI",1,50,5,5,8888,37888,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
Université Paris-Saclay,France,Graduate,"sciences, engineering",69,3.4,,6.0,3000,10.0,"Physics, AI",1,50,5,3,15578,18578,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,1,0,0
